"0","library(ggplot2)"
"0","microbiome.fungi %>%"
"0","  select(SampleID, Crop, Compartment:Fungicide, richness) %>%  # selecting columns"
"0","  group_by(Treatment, Fungicide) %>%  # grouping by treatment and fungicide to later calculate summary stats by group"
"0","  mutate(logRich = log(richness)) %>% # creating a new column of the log richness "
"0","  summarise(Mean.rich = mean(logRich), # calculating the mean richness, stdeviation, and standard error "
"0","            n = n(),"
"0","            sd.dev = sd(logRich)) %>%"
"0","  mutate(std.err = sd.dev/sqrt(n)) %>% "
"0","  ggplot(aes(x = Fungicide, y = Mean.rich)) + # adding in a ggplot "
"0","  geom_bar(stat = ""identity"") +"
"0","  geom_errorbar(aes(x = Fungicide, ymin = Mean.rich - std.err, ymax = Mean.rich + std.err), width = 0.4) + "
"0","  theme_minimal() + "
"0","  xlab("""") +"
"0","  ylab(""Log Richness"") +"
"0","  facet_wrap(~Treatment)"
"2","`summarise()` has grouped output by 'Treatment'. You can override using the `.groups` argument."
